country,crop,elem,year,qty,unit,
China,"Cereals, primary",Area harvested,1961,90552841,ha,
China,"Cereals, primary",Production,1961,109659976,t,
China,"Roots and Tubers, Total",Area harvested,1961,12314919,ha,
China,"Roots and Tubers, Total",Production,1961,92091965,t,
China,Sugar Crops Primary,Area harvested,1961,499100,ha,
China,Sugar Crops Primary,Production,1961,13212694,t,
China,Vegetables Primary,Area harvested,1961,5002595,ha,
China,Vegetables Primary,Production,1961,50202520,t,
China,"Cereals, primary",Area harvested,2023,100251837,ha,
China,"Cereals, primary",Production,2023,643445517.3,t, 
China,"Roots and Tubers, Total",Area harvested,2023,7311012,ha,
China,"Roots and Tubers, Total",Production,2023,152268438.5,t,
China,Sugar Crops Primary,Area harvested,2023,1472741,ha,
China,Sugar Crops Primary,Production,2023,114149560.9,t,
China,Vegetables Primary,Area harvested,2023,23805403,ha,
China,Vegetables Primary,Production,2023,621365795.6,t,
