Area,Item,Element,Year,Value,unit,
China,"Cereals, primary",Area harvested,1961,90552841,ha,
China,"Cereals, primary",Yield,1961,1211,hg/ha,
China,"Cereals, primary",Production,1961,109659976,t,
China,"Roots and Tubers, Total",Area harvested,1961,12314919,ha,
China,"Roots and Tubers, Total",Yield,1961,7478.1,hg/ha,
China,"Roots and Tubers, Total",Production,1961,92091965,t,
China,Sugar Crops Primary,Area harvested,1961,499100,ha,
China,Sugar Crops Primary,Yield,1961,26473,hg/ha,
China,Sugar Crops Primary,Production,1961,13212694,t,
China,Vegetables Primary,Area harvested,1961,5002595,ha,
China,Vegetables Primary,Yield,1961,10035.3,hg/ha,
China,Vegetables Primary,Production,1961,50202520,t,
,,,,,,
,,,,,,
,,,,,, 
