Year,Item,Area harvested,Yield,Production
1961,Cereals,90552841,1211.0,109659976
1962,Cereals,89761512,1341.6,120421293
1963,Cereals,91216574,1506.9,137456233
1964,Cereals,92897267,1640.1,152356625
1965,Cereals,91910487,1764.3,162156281
1966,Cereals,93712993,1895.3,177613486
1967,Cereals,92806916,1952.2,181182167
1968,Cereals,90488277,1957.5,177133015
1969,Cereals,92117127,1915.9,176486754
1970,Cereals,93712433,2143.1,200836854
1971,Cereals,96997311,2187.1,212142760
1972,Cereals,97317337,2122.1,206516977
1973,Cereals,96958052,2288.1,221853449
1974,Cereals,97681833,2402.1,234636870
1975,Cereals,98094421,2492.8,244525529
1976,Cereals,98627104,2537.0,250213735
1977,Cereals,97255616,2501.5,243286035
1978,Cereals,97445665,2802.0,273038118
1979,Cereals,96233158,3041.9,292727509
1980,Cereals,95054328,2948.7,280287437
1981,Cereals,92653171,3091.6,286450038
1982,Cereals,91007542,3465.3,315364050
1983,Cereals,92800537,3724.4,345626506
1984,Cereals,92388368,3960.9,365937335
1985,Cereals,88792335,3827.8,339877377
1986,Cereals,90393456,3895.0,352084647
1987,Cereals,90299944,3978.3,359240676
1988,Cereals,89372990,3936.6,351824290
1989,Cereals,91447328,4020.2,367636080
1990,Cereals,94142398,4310.3,405785540.6
1991,Cereals,94139407,4237.3,398896071
1992,Cereals,92600460,4365.8,404275226
1993,Cereals,89308072,4567.7,407930462
1994,Cereals,87905447,4510.1,396460120
1995,Cereals,89769669,4663.8,418664201
1996,Cereals,92642914,4894.5,453439300.4
1997,Cereals,92580315,4816.7,445931409.1
1998,Cereals,92530270,4954.0,458394739.1
1999,Cereals,92012030,4947.1,455192431
2000,Cereals,85639383,4756.4,407336209
2001,Cereals,82960644,4802.2,398396119
2002,Cereals,81807328,4873.5,398687732
2003,Cereals,77248952,4875.9,376654603
2004,Cereals,79611066,5189.8,413162398
2005,Cereals,82166582,5225.6,429370665
2006,Cereals,85184739,5315.5,452800681.9
2007,Cereals,86111194,5320.5,458156418
2008,Cereals,86630832,5550.5,480842470
2009,Cereals,88842879,5452.0,484370839.1
2010,Cereals,90326168,5528.7,499385217.3
2011,Cereals,91564856,5712.4,523053411.9
2012,Cereals,93209088,5830.5,543459968
2013,Cereals,94462360,5897.5,557095954.7
2014,Cereals,95365721,5897.6,562426932.6
2015,Cereals,103566966,5985.7,619923474.8
2016,Cereals,102442440,6017.6,616456117.5
2017,Cereals,100799386,6111.3,616017835.5
