country_name,year,value_kg_per_ha,indicator_en
China,1961,7.09551656920078,Total Fertilizer Consumption (kg per hectare)
China,1962,9.67350928641251,Total Fertilizer Consumption (kg per hectare)
China,1963,12.2135161606268,Total Fertilizer Consumption (kg per hectare)
China,1964,16.4573110893032,Total Fertilizer Consumption (kg per hectare)
China,1965,25.6173143138219,Total Fertilizer Consumption (kg per hectare)
China,1966,36.7490118577075,Total Fertilizer Consumption (kg per hectare)
China,1967,26.7772041302621,Total Fertilizer Consumption (kg per hectare)
China,1968,26.8954509177973,Total Fertilizer Consumption (kg per hectare)
China,1969,34.8235765838011,Total Fertilizer Consumption (kg per hectare)
China,1970,44.3896051571313,Total Fertilizer Consumption (kg per hectare)
China,1971,46.1952453211937,Total Fertilizer Consumption (kg per hectare)
China,1972,53.3306230307958,Total Fertilizer Consumption (kg per hectare)
China,1973,65.8067810457516,Total Fertilizer Consumption (kg per hectare)
China,1974,56.6290879544993,Total Fertilizer Consumption (kg per hectare)
China,1975,70.6423342612641,Total Fertilizer Consumption (kg per hectare)
China,1976,66.3200303248235,Total Fertilizer Consumption (kg per hectare)
China,1977,94.5313092652988,Total Fertilizer Consumption (kg per hectare)
China,1978,112.630923986311,Total Fertilizer Consumption (kg per hectare)
China,1979,135.844942081735,Total Fertilizer Consumption (kg per hectare)
China,1980,159.445801923577,Total Fertilizer Consumption (kg per hectare)
China,1981,156.550263456969,Total Fertilizer Consumption (kg per hectare)
China,1982,161.214355948869,Total Fertilizer Consumption (kg per hectare)
China,1983,173.656104380242,Total Fertilizer Consumption (kg per hectare)
China,1984,175.985964912281,Total Fertilizer Consumption (kg per hectare)
China,1985,143.871773522065,Total Fertilizer Consumption (kg per hectare)
China,1986,143.760995850622,Total Fertilizer Consumption (kg per hectare)
China,1987,188.750133111481,Total Fertilizer Consumption (kg per hectare)
China,1988,209.445037220844,Total Fertilizer Consumption (kg per hectare)
China,1989,208.086710310966,Total Fertilizer Consumption (kg per hectare)
China,1990,220.304523424879,Total Fertilizer Consumption (kg per hectare)
China,1991,237.51031031031,Total Fertilizer Consumption (kg per hectare)
China,1992,237.607811228641,Total Fertilizer Consumption (kg per hectare)
China,1993,206.754328112119,Total Fertilizer Consumption (kg per hectare)
China,1994,238.956089478045,Total Fertilizer Consumption (kg per hectare)
China,1995,297.543067402576,Total Fertilizer Consumption (kg per hectare)
China,1996,301.527581092518,Total Fertilizer Consumption (kg per hectare)
China,1997,299.453331569209,Total Fertilizer Consumption (kg per hectare)
China,1998,300.992527690388,Total Fertilizer Consumption (kg per hectare)
China,1999,306.107833727809,Total Fertilizer Consumption (kg per hectare)
China,2000,287.448487903226,Total Fertilizer Consumption (kg per hectare)
China,2001,295.448526102869,Total Fertilizer Consumption (kg per hectare)
China,2002,333.508929205084,Total Fertilizer Consumption (kg per hectare)
China,2003,328.658260424965,Total Fertilizer Consumption (kg per hectare)
China,2004,352.264351737972,Total Fertilizer Consumption (kg per hectare)
China,2005,375.104995496979,Total Fertilizer Consumption (kg per hectare)
China,2006,374.765138080587,Total Fertilizer Consumption (kg per hectare)
China,2007,385.314635786511,Total Fertilizer Consumption (kg per hectare)
China,2008,372.65810231486,Total Fertilizer Consumption (kg per hectare)
China,2009,383.967587321621,Total Fertilizer Consumption (kg per hectare)
China,2010,425.239340293993,Total Fertilizer Consumption (kg per hectare)
China,2011,444.64980620155,Total Fertilizer Consumption (kg per hectare)
China,2012,457.333238442414,Total Fertilizer Consumption (kg per hectare)
China,2013,458.516155476157,Total Fertilizer Consumption (kg per hectare)
China,2014,477.579277718331,Total Fertilizer Consumption (kg per hectare)
China,2015,465.6126796366,Total Fertilizer Consumption (kg per hectare)
China,2016,480.055071748405,Total Fertilizer Consumption (kg per hectare)
China,2017,460.457754805883,Total Fertilizer Consumption (kg per hectare)
China,2018,442.553246565176,Total Fertilizer Consumption (kg per hectare)
China,2019,427.750847233594,Total Fertilizer Consumption (kg per hectare)
China,2020,414.491446133711,Total Fertilizer Consumption (kg per hectare)
China,2021,406.234332124994,Total Fertilizer Consumption (kg per hectare)
China,2022,395.13903230531,Total Fertilizer Consumption (kg per hectare)
China,2023,394.019742296898,Total Fertilizer Consumption (kg per hectare)
