Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1961,1961,t,228000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1961,1961,t,324000,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1961,1961,t,8000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1961,1961,t,544000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1961,1961,kg/ha,5.17,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1961,1961,kg/cap,0.81,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1961,1961,g/Int$,5.41,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1962,1962,t,410000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1962,1962,t,404000,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1962,1962,t,7000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1962,1962,t,810000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1962,1962,kg/ha,7.71,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1962,1962,kg/cap,1.19,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1962,1962,g/Int$,7.64,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1963,1963,t,554000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1963,1963,t,447000,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1963,1963,t,7000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1963,1963,t,974000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1963,1963,kg/ha,9.29,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1963,1963,kg/cap,1.39,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1963,1963,g/Int$,8.7,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1964,1964,t,817000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1964,1964,t,472000,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1964,1964,t,8000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1964,1964,t,1250000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1964,1964,kg/ha,11.94,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1964,1964,kg/cap,1.73,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1964,1964,g/Int$,10.43,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1965,1965,t,1184000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1965,1965,t,688000,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1965,1965,t,15000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1965,1965,t,1832000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1965,1965,kg/ha,17.53,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1965,1965,kg/cap,2.47,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1965,1965,g/Int$,13.98,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1966,1966,t,1619000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1966,1966,t,1102000,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1966,1966,t,24000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1966,1966,t,2671000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1966,1966,kg/ha,25.66,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1966,1966,kg/cap,3.51,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1966,1966,g/Int$,18.92,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1967,1967,t,1178000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1967,1967,t,798000,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1967,1967,t,24400,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1967,1967,t,1958000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1967,1967,kg/ha,18.88,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1967,1967,kg/cap,2.51,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1967,1967,g/Int$,13.66,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1968,1968,t,876000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1968,1968,t,1337000,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1968,1968,t,50200,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1968,1968,t,2146000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1968,1968,kg/ha,20.77,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1968,1968,kg/cap,2.69,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1968,1968,g/Int$,15.03,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1969,1969,t,1218000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1969,1969,t,1461000,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1969,1969,t,44200,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1969,1969,t,2635000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1969,1969,kg/ha,25.6,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1969,1969,kg/cap,3.21,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1969,1969,g/Int$,18.26,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1970,1970,t,1680000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1970,1970,t,1707000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1970,1970,t,18200,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1970,1970,t,3369000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1970,1970,kg/ha,32.86,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1970,1970,kg/cap,4,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1970,1970,g/Int$,22.01,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1971,1971,t,2082000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1971,1971,t,1304000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1971,1971,t,16000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1971,1971,t,3370000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1971,1971,kg/ha,32.99,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1971,1971,kg/cap,3.9,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1971,1971,g/Int$,21.22,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1972,1972,t,2645000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1972,1972,t,1248000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1972,1972,t,34000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1972,1972,t,3859000,X,Figure from external organization,
RFN,Fertilizers by Nutrient,159,China,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),1972,1972,kg/ha,37.91,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5172,Use per capita,3102,Nutrient nitrogen N (total),1972,1972,kg/cap,4.37,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5173,Use per value of agricultural production,3102,Nutrient nitrogen N (total),1972,1972,g/Int$,24.66,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5510,Production,3102,Nutrient nitrogen N (total),1973,1973,t,3220000,A,Official figure,
RFN,Fertilizers by Nutrient,159,China,5610,Import quantity,3102,Nutrient nitrogen N (total),1973,1973,t,1250000,E,Estimated value,
RFN,Fertilizers by Nutrient,159,China,5910,Export quantity,3102,Nutrient nitrogen N (total),1973,1973,t,19000,X,Figure from external organization,
