Area,Item,Element,Year,Value
China,"Cereals, primary",Area harvested,1961,90552841
China,"Cereals, primary",Yield,1961,1211
China,"Cereals, primary",Production,1961,109659976
China,"Cereals, primary",Area harvested,1962,89761512
China,"Cereals, primary",Yield,1962,1341.6
China,"Cereals, primary",Production,1962,120421293
China,"Cereals, primary",Area harvested,1963,91216574
China,"Cereals, primary",Yield,1963,1506.9
China,"Cereals, primary",Production,1963,137456233
China,"Cereals, primary",Area harvested,1964,92897267
China,"Cereals, primary",Yield,1964,1640.1
China,"Cereals, primary",Production,1964,152356625
China,"Cereals, primary",Area harvested,1965,91910487
China,"Cereals, primary",Yield,1965,1764.3
China,"Cereals, primary",Production,1965,162156281
China,"Cereals, primary",Area harvested,1966,93712993
China,"Cereals, primary",Yield,1966,1895.3
China,"Cereals, primary",Production,1966,177613486
China,"Cereals, primary",Area harvested,1967,92806916
China,"Cereals, primary",Yield,1967,1952.2
China,"Cereals, primary",Production,1967,181182167
China,"Cereals, primary",Area harvested,1968,90488277
China,"Cereals, primary",Yield,1968,1957.5
China,"Cereals, primary",Production,1968,177133015
China,"Cereals, primary",Area harvested,1969,92117127
China,"Cereals, primary",Yield,1969,1915.9
China,"Cereals, primary",Production,1969,176486754
China,"Cereals, primary",Area harvested,1970,93712433
China,"Cereals, primary",Yield,1970,2143.1
China,"Cereals, primary",Production,1970,200836854
China,"Cereals, primary",Area harvested,1971,96997311
China,"Cereals, primary",Yield,1971,2187.1
China,"Cereals, primary",Production,1971,212142760
China,"Cereals, primary",Area harvested,1972,97317337
China,"Cereals, primary",Yield,1972,2122.1
China,"Cereals, primary",Production,1972,206516977
China,"Cereals, primary",Area harvested,1973,96958052
China,"Cereals, primary",Yield,1973,2288.1
China,"Cereals, primary",Production,1973,221853449
China,"Cereals, primary",Area harvested,1974,97681833
China,"Cereals, primary",Yield,1974,2402.1
China,"Cereals, primary",Production,1974,234636870
China,"Cereals, primary",Area harvested,1975,98094421
China,"Cereals, primary",Yield,1975,2492.8
China,"Cereals, primary",Production,1975,244525529
China,"Cereals, primary",Area harvested,1976,98627104
China,"Cereals, primary",Yield,1976,2537
China,"Cereals, primary",Production,1976,250213735
China,"Cereals, primary",Area harvested,1977,97255616
China,"Cereals, primary",Yield,1977,2501.5
China,"Cereals, primary",Production,1977,243286035
China,"Cereals, primary",Area harvested,1978,97445665
China,"Cereals, primary",Yield,1978,2802
China,"Cereals, primary",Production,1978,273038118
China,"Cereals, primary",Area harvested,1979,96233158
China,"Cereals, primary",Yield,1979,3041.9
China,"Cereals, primary",Production,1979,292727509
China,"Cereals, primary",Area harvested,1980,95054328
China,"Cereals, primary",Yield,1980,2948.7
China,"Cereals, primary",Production,1980,280287437
China,"Cereals, primary",Area harvested,1981,92653171
China,"Cereals, primary",Yield,1981,3091.6
China,"Cereals, primary",Production,1981,286450038
China,"Cereals, primary",Area harvested,1982,91007542
China,"Cereals, primary",Yield,1982,3465.3
China,"Cereals, primary",Production,1982,315364050
China,"Cereals, primary",Area harvested,1983,92800537
China,"Cereals, primary",Yield,1983,3724.4
China,"Cereals, primary",Production,1983,345626506
China,"Cereals, primary",Area harvested,1984,92388368
China,"Cereals, primary",Yield,1984,3960.9
China,"Cereals, primary",Production,1984,365937335
China,"Cereals, primary",Area harvested,1985,88792335
China,"Cereals, primary",Yield,1985,3827.8
China,"Cereals, primary",Production,1985,339877377
China,"Cereals, primary",Area harvested,1986,90393456
China,"Cereals, primary",Yield,1986,3895
China,"Cereals, primary",Production,1986,352084647
China,"Cereals, primary",Area harvested,1987,90299944
China,"Cereals, primary",Yield,1987,3978.3
China,"Cereals, primary",Production,1987,359240676
China,"Cereals, primary",Area harvested,1988,89372990
China,"Cereals, primary",Yield,1988,3936.6
China,"Cereals, primary",Production,1988,351824290
China,"Cereals, primary",Area harvested,1989,91447328
China,"Cereals, primary",Yield,1989,4020.2
China,"Cereals, primary",Production,1989,367636080
China,"Cereals, primary",Area harvested,1990,94142398
China,"Cereals, primary",Yield,1990,4310.3
China,"Cereals, primary",Production,1990,405785540.6
China,"Cereals, primary",Area harvested,1991,94139407
China,"Cereals, primary",Yield,1991,4237.3
China,"Cereals, primary",Production,1991,398896071
China,"Cereals, primary",Area harvested,1992,92600460
China,"Cereals, primary",Yield,1992,4365.8
China,"Cereals, primary",Production,1992,404275226
China,"Cereals, primary",Area harvested,1993,89308072
China,"Cereals, primary",Yield,1993,4567.7
China,"Cereals, primary",Production,1993,407930462
China,"Cereals, primary",Area harvested,1994,87905447
China,"Cereals, primary",Yield,1994,4510.1
China,"Cereals, primary",Production,1994,396460120
China,"Cereals, primary",Area harvested,1995,89769669
China,"Cereals, primary",Yield,1995,4663.8
China,"Cereals, primary",Production,1995,418664201
China,"Cereals, primary",Area harvested,1996,92642914
China,"Cereals, primary",Yield,1996,4894.5
China,"Cereals, primary",Production,1996,453439300.4
China,"Cereals, primary",Area harvested,1997,92580315
China,"Cereals, primary",Yield,1997,4816.7
China,"Cereals, primary",Production,1997,445931409.1
China,"Cereals, primary",Area harvested,1998,92530270
China,"Cereals, primary",Yield,1998,4954
China,"Cereals, primary",Production,1998,458394739.1
China,"Cereals, primary",Area harvested,1999,92012030
China,"Cereals, primary",Yield,1999,4947.1
China,"Cereals, primary",Production,1999,455192431
China,"Cereals, primary",Area harvested,2000,85639383
China,"Cereals, primary",Yield,2000,4756.4
China,"Cereals, primary",Production,2000,407336209
China,"Cereals, primary",Area harvested,2001,82960644
China,"Cereals, primary",Yield,2001,4802.2
China,"Cereals, primary",Production,2001,398396119
China,"Cereals, primary",Area harvested,2002,81807328
China,"Cereals, primary",Yield,2002,4873.5
China,"Cereals, primary",Production,2002,398687732
China,"Cereals, primary",Area harvested,2003,77248952
China,"Cereals, primary",Yield,2003,4875.9
China,"Cereals, primary",Production,2003,376654603
China,"Cereals, primary",Area harvested,2004,79611066
China,"Cereals, primary",Yield,2004,5189.8
China,"Cereals, primary",Production,2004,413162398
China,"Cereals, primary",Area harvested,2005,82166582
China,"Cereals, primary",Yield,2005,5225.6
China,"Cereals, primary",Production,2005,429370665
China,"Cereals, primary",Area harvested,2006,85184739
China,"Cereals, primary",Yield,2006,5315.5
China,"Cereals, primary",Production,2006,452800681.9
China,"Cereals, primary",Area harvested,2007,86111194
China,"Cereals, primary",Yield,2007,5320.5
China,"Cereals, primary",Production,2007,458156418
China,"Cereals, primary",Area harvested,2008,86630832
China,"Cereals, primary",Yield,2008,5550.5
China,"Cereals, primary",Production,2008,480842470
China,"Cereals, primary",Area harvested,2009,88842879
China,"Cereals, primary",Yield,2009,5452
China,"Cereals, primary",Production,2009,484370839.1
China,"Cereals, primary",Area harvested,2010,90326168
China,"Cereals, primary",Yield,2010,5528.7
China,"Cereals, primary",Production,2010,499385217.3
China,"Cereals, primary",Area harvested,2011,91564856
China,"Cereals, primary",Yield,2011,5712.4
China,"Cereals, primary",Production,2011,523053411.9
China,"Cereals, primary",Area harvested,2012,93209088
China,"Cereals, primary",Yield,2012,5830.5
China,"Cereals, primary",Production,2012,543459968
China,"Cereals, primary",Area harvested,2013,94462360
China,"Cereals, primary",Yield,2013,5897.5
China,"Cereals, primary",Production,2013,557095954.7
China,"Cereals, primary",Area harvested,2014,95365721
China,"Cereals, primary",Yield,2014,5897.6
China,"Cereals, primary",Production,2014,562426932.6
China,"Cereals, primary",Area harvested,2015,103566966
China,"Cereals, primary",Yield,2015,5985.7
China,"Cereals, primary",Production,2015,619923474.8
China,"Cereals, primary",Area harvested,2016,102442440
China,"Cereals, primary",Yield,2016,6017.6
China,"Cereals, primary",Production,2016,616456117.5
China,"Cereals, primary",Area harvested,2017,100799386
China,"Cereals, primary",Yield,2017,6111.3
China,"Cereals, primary",Production,2017,616017835.5
China,"Cereals, primary",Area harvested,2018,99936334
China,"Cereals, primary",Yield,2018,6124.7
China,"Cereals, primary",Production,2018,612080566.6
China,"Cereals, primary",Area harvested,2019,98217803
China,"Cereals, primary",Yield,2019,6265.8
China,"Cereals, primary",Production,2019,615416302.1
China,"Cereals, primary",Area harvested,2020,98238543
China,"Cereals, primary",Yield,2020,6296.9
China,"Cereals, primary",Production,2020,618598138.4
China,"Cereals, primary",Area harvested,2021,100422610
China,"Cereals, primary",Yield,2021,6318.8
China,"Cereals, primary",Production,2021,634549865
China,"Cereals, primary",Area harvested,2022,99495570
China,"Cereals, primary",Yield,2022,6381.7
China,"Cereals, primary",Production,2022,634948339.4
China,"Cereals, primary",Area harvested,2023,100251837
China,"Cereals, primary",Yield,2023,6418.3
China,"Cereals, primary",Production,2023,643445517.3
China,"Roots and Tubers, Total",Area harvested,1961,12314919
China,"Roots and Tubers, Total",Yield,1961,7478.1
China,"Roots and Tubers, Total",Production,1961,92091965
China,"Roots and Tubers, Total",Area harvested,1962,12565286
China,"Roots and Tubers, Total",Yield,1962,7871
China,"Roots and Tubers, Total",Production,1962,98901835
China,"Roots and Tubers, Total",Area harvested,1963,10942407
China,"Roots and Tubers, Total",Yield,1963,8200.7
China,"Roots and Tubers, Total",Production,1963,89735829
China,"Roots and Tubers, Total",Area harvested,1964,11678005
China,"Roots and Tubers, Total",Yield,1964,7356.8
China,"Roots and Tubers, Total",Production,1964,85912981
China,"Roots and Tubers, Total",Area harvested,1965,11126633
China,"Roots and Tubers, Total",Yield,1965,9406.5
China,"Roots and Tubers, Total",Production,1965,104662611
China,"Roots and Tubers, Total",Area harvested,1966,12060194
China,"Roots and Tubers, Total",Yield,1966,9820.2
China,"Roots and Tubers, Total",Production,1966,118433387
China,"Roots and Tubers, Total",Area harvested,1967,11138218
China,"Roots and Tubers, Total",Yield,1967,10617
China,"Roots and Tubers, Total",Production,1967,118254973
China,"Roots and Tubers, Total",Area harvested,1968,10755426
China,"Roots and Tubers, Total",Yield,1968,10929.6
China,"Roots and Tubers, Total",Production,1968,117552983
China,"Roots and Tubers, Total",Area harvested,1969,10903146
China,"Roots and Tubers, Total",Yield,1969,11656.5
China,"Roots and Tubers, Total",Production,1969,127092732
China,"Roots and Tubers, Total",Area harvested,1970,11178185
China,"Roots and Tubers, Total",Yield,1970,12499
China,"Roots and Tubers, Total",Production,1970,139716193
China,"Roots and Tubers, Total",Area harvested,1971,10871275
China,"Roots and Tubers, Total",Yield,1971,12154.4
China,"Roots and Tubers, Total",Production,1971,132133519
China,"Roots and Tubers, Total",Area harvested,1972,11807771
China,"Roots and Tubers, Total",Yield,1972,10906.1
China,"Roots and Tubers, Total",Production,1972,128776605
China,"Roots and Tubers, Total",Area harvested,1973,11772335
China,"Roots and Tubers, Total",Yield,1973,13962.4
China,"Roots and Tubers, Total",Production,1973,164370120
China,"Roots and Tubers, Total",Area harvested,1974,11520922
China,"Roots and Tubers, Total",Yield,1974,12795
China,"Roots and Tubers, Total",Production,1974,147410329
China,"Roots and Tubers, Total",Area harvested,1975,11406513
China,"Roots and Tubers, Total",Yield,1975,13032.6
China,"Roots and Tubers, Total",Production,1975,148657042
China,"Roots and Tubers, Total",Area harvested,1976,10775386
China,"Roots and Tubers, Total",Yield,1976,12876.2
China,"Roots and Tubers, Total",Production,1976,138745988
China,"Roots and Tubers, Total",Area harvested,1977,11633913
China,"Roots and Tubers, Total",Yield,1977,13231.6
China,"Roots and Tubers, Total",Production,1977,153935527
