Entity,Code,Year,Nutrient potash K2O (tonnes),Nutrient phosphate P2O5 (tonnes),Nutrient nitrogen N (tonnes)
China,CHN,1961,2000,146000,228000
China,CHN,1963,1000,223000,554000
China,CHN,1964,1000,368000,817000
China,CHN,1965,1000,724000,1184000
China,CHN,1966,2000,985000,1619000
China,CHN,1967,4000,659000,1178000
China,CHN,1968,3000,465000,876000
China,CHN,1969,3000,767000,1218000
China,CHN,1970,5000,950000,1680000
China,CHN,1971,12000,1125000,2082000
China,CHN,1972,8000,1303000,2645000
China,CHN,1973,7000,1634000,3220000
China,CHN,1974,5000,1451000,3017000
China,CHN,1975,7000,1596000,3964000
China,CHN,1976,11000,1485000,4042000
China,CHN,1977,21000,1781000,5751000
China,CHN,1978,21000,1108400,7903100
China,CHN,1979,15700,1869900,9095900
China,CHN,1980,19800,2367000,10286000
China,CHN,1981,24400,2593600,10154000
China,CHN,1982,25000,2888100,10458000
China,CHN,1983,29000,3023200,11322500
China,CHN,1984,32000,2730900,12452000
China,CHN,1985,23000,2115200,11666700
China,CHN,1986,24000,2410800,11858500
China,CHN,1987,39700,3340600,13684900
China,CHN,1988,53800,3766200,13953700
China,CHN,1989,32000,3807700,14519300
China,CHN,1990,46000,4196000,14915500
China,CHN,1991,98000,4641400,15300700
China,CHN,1992,91000,4700000,15962619
China,CHN,1993,70000,4240300,15581034
China,CHN,1994,116500,4946000,16342016
China,CHN,1995,223000,6091300,19035070
China,CHN,1996,218000,5822000,21042778
China,CHN,1997,170000,6419000,20232134
China,CHN,1998,213000,6713000,21530000
China,CHN,1999,218000,6430000,22833056
China,CHN,2000,275000,6687000,21559100
China,CHN,2001,395000,7451462,22075728
China,CHN,2002,430000,8056000,23352352
China,CHN,2003,620000,8806000,25766680
China,CHN,2004,840000,10200000,27608176
China,CHN,2005,1475000,11121000,26932058
China,CHN,2006,1750000,11998000,27733734
China,CHN,2007,2498800,12572300,31252788
China,CHN,2008,2912200,12140900,30942146
China,CHN,2009,3627800,14160900,30965620
China,CHN,2010,3967600,17015000,33928760
China,CHN,2011,4915100,17662600,33856908
China,CHN,2012,5299500,16558600,35234572
China,CHN,2013,5098900,16328700,36138484
China,CHN,2014,6104700,17430100,39595784
China,CHN,2015,6042200,18572000,40465380
China,CHN,2016,6650400,18591100,33794852
China,CHN,2017,5964900,15010500,31147714
China,CHN,2018,6145883,13237600,28914170
China,CHN,2019,4084104.5,15646839,32396038
China,CHN,2020,4091647.5,14886827,28240960
China,CHN,2021,4623795.5,15876680,28049918
China,CHN,2022,4134433.2,12867517,25568398
China,CHN,1962,,155000,410000
