Entity,Code,Year,Nutrient,Tonnes
China,CHN,1961,Nutrient potash K2O (tonnes),2000.0
China,CHN,1963,Nutrient potash K2O (tonnes),1000.0
China,CHN,1964,Nutrient potash K2O (tonnes),1000.0
China,CHN,1965,Nutrient potash K2O (tonnes),1000.0
China,CHN,1966,Nutrient potash K2O (tonnes),2000.0
China,CHN,1967,Nutrient potash K2O (tonnes),4000.0
China,CHN,1968,Nutrient potash K2O (tonnes),3000.0
China,CHN,1969,Nutrient potash K2O (tonnes),3000.0
China,CHN,1970,Nutrient potash K2O (tonnes),5000.0
China,CHN,1971,Nutrient potash K2O (tonnes),12000.0
China,CHN,1972,Nutrient potash K2O (tonnes),8000.0
China,CHN,1973,Nutrient potash K2O (tonnes),7000.0
China,CHN,1974,Nutrient potash K2O (tonnes),5000.0
China,CHN,1975,Nutrient potash K2O (tonnes),7000.0
China,CHN,1976,Nutrient potash K2O (tonnes),11000.0
China,CHN,1977,Nutrient potash K2O (tonnes),21000.0
China,CHN,1978,Nutrient potash K2O (tonnes),21000.0
China,CHN,1979,Nutrient potash K2O (tonnes),15700.0
China,CHN,1980,Nutrient potash K2O (tonnes),19800.0
China,CHN,1981,Nutrient potash K2O (tonnes),24400.0
China,CHN,1982,Nutrient potash K2O (tonnes),25000.0
China,CHN,1983,Nutrient potash K2O (tonnes),29000.0
China,CHN,1984,Nutrient potash K2O (tonnes),32000.0
China,CHN,1985,Nutrient potash K2O (tonnes),23000.0
China,CHN,1986,Nutrient potash K2O (tonnes),24000.0
China,CHN,1987,Nutrient potash K2O (tonnes),39700.0
China,CHN,1988,Nutrient potash K2O (tonnes),53800.0
China,CHN,1989,Nutrient potash K2O (tonnes),32000.0
China,CHN,1990,Nutrient potash K2O (tonnes),46000.0
China,CHN,1991,Nutrient potash K2O (tonnes),98000.0
China,CHN,1992,Nutrient potash K2O (tonnes),91000.0
China,CHN,1993,Nutrient potash K2O (tonnes),70000.0
China,CHN,1994,Nutrient potash K2O (tonnes),116500.0
China,CHN,1995,Nutrient potash K2O (tonnes),223000.0
China,CHN,1996,Nutrient potash K2O (tonnes),218000.0
China,CHN,1997,Nutrient potash K2O (tonnes),170000.0
China,CHN,1998,Nutrient potash K2O (tonnes),213000.0
China,CHN,1999,Nutrient potash K2O (tonnes),218000.0
China,CHN,2000,Nutrient potash K2O (tonnes),275000.0
China,CHN,2001,Nutrient potash K2O (tonnes),395000.0
China,CHN,2002,Nutrient potash K2O (tonnes),430000.0
China,CHN,2003,Nutrient potash K2O (tonnes),620000.0
China,CHN,2004,Nutrient potash K2O (tonnes),840000.0
China,CHN,2005,Nutrient potash K2O (tonnes),1475000.0
China,CHN,2006,Nutrient potash K2O (tonnes),1750000.0
China,CHN,2007,Nutrient potash K2O (tonnes),2498800.0
China,CHN,2008,Nutrient potash K2O (tonnes),2912200.0
China,CHN,2009,Nutrient potash K2O (tonnes),3627800.0
China,CHN,2010,Nutrient potash K2O (tonnes),3967600.0
China,CHN,2011,Nutrient potash K2O (tonnes),4915100.0
China,CHN,2012,Nutrient potash K2O (tonnes),5299500.0
China,CHN,2013,Nutrient potash K2O (tonnes),5098900.0
China,CHN,2014,Nutrient potash K2O (tonnes),6104700.0
China,CHN,2015,Nutrient potash K2O (tonnes),6042200.0
China,CHN,2016,Nutrient potash K2O (tonnes),6650400.0
China,CHN,2017,Nutrient potash K2O (tonnes),5964900.0
China,CHN,2018,Nutrient potash K2O (tonnes),6145883.0
China,CHN,2019,Nutrient potash K2O (tonnes),4084104.5
China,CHN,2020,Nutrient potash K2O (tonnes),4091647.5
China,CHN,2021,Nutrient potash K2O (tonnes),4623795.5
China,CHN,2022,Nutrient potash K2O (tonnes),4134433.2
China,CHN,1962,Nutrient potash K2O (tonnes),
China,CHN,1961,Nutrient phosphate P2O5 (tonnes),146000.0
China,CHN,1963,Nutrient phosphate P2O5 (tonnes),223000.0
China,CHN,1964,Nutrient phosphate P2O5 (tonnes),368000.0
China,CHN,1965,Nutrient phosphate P2O5 (tonnes),724000.0
China,CHN,1966,Nutrient phosphate P2O5 (tonnes),985000.0
China,CHN,1967,Nutrient phosphate P2O5 (tonnes),659000.0
China,CHN,1968,Nutrient phosphate P2O5 (tonnes),465000.0
China,CHN,1969,Nutrient phosphate P2O5 (tonnes),767000.0
China,CHN,1970,Nutrient phosphate P2O5 (tonnes),950000.0
China,CHN,1971,Nutrient phosphate P2O5 (tonnes),1125000.0
China,CHN,1972,Nutrient phosphate P2O5 (tonnes),1303000.0
China,CHN,1973,Nutrient phosphate P2O5 (tonnes),1634000.0
China,CHN,1974,Nutrient phosphate P2O5 (tonnes),1451000.0
China,CHN,1975,Nutrient phosphate P2O5 (tonnes),1596000.0
China,CHN,1976,Nutrient phosphate P2O5 (tonnes),1485000.0
China,CHN,1977,Nutrient phosphate P2O5 (tonnes),1781000.0
China,CHN,1978,Nutrient phosphate P2O5 (tonnes),1108400.0
China,CHN,1979,Nutrient phosphate P2O5 (tonnes),1869900.0
China,CHN,1980,Nutrient phosphate P2O5 (tonnes),2367000.0
China,CHN,1981,Nutrient phosphate P2O5 (tonnes),2593600.0
China,CHN,1982,Nutrient phosphate P2O5 (tonnes),2888100.0
China,CHN,1983,Nutrient phosphate P2O5 (tonnes),3023200.0
China,CHN,1984,Nutrient phosphate P2O5 (tonnes),2730900.0
China,CHN,1985,Nutrient phosphate P2O5 (tonnes),2115200.0
China,CHN,1986,Nutrient phosphate P2O5 (tonnes),2410800.0
China,CHN,1987,Nutrient phosphate P2O5 (tonnes),3340600.0
China,CHN,1988,Nutrient phosphate P2O5 (tonnes),3766200.0
China,CHN,1989,Nutrient phosphate P2O5 (tonnes),3807700.0
China,CHN,1990,Nutrient phosphate P2O5 (tonnes),4196000.0
China,CHN,1991,Nutrient phosphate P2O5 (tonnes),4641400.0
China,CHN,1992,Nutrient phosphate P2O5 (tonnes),4700000.0
China,CHN,1993,Nutrient phosphate P2O5 (tonnes),4240300.0
China,CHN,1994,Nutrient phosphate P2O5 (tonnes),4946000.0
China,CHN,1995,Nutrient phosphate P2O5 (tonnes),6091300.0
China,CHN,1996,Nutrient phosphate P2O5 (tonnes),5822000.0
China,CHN,1997,Nutrient phosphate P2O5 (tonnes),6419000.0
China,CHN,1998,Nutrient phosphate P2O5 (tonnes),6713000.0
China,CHN,1999,Nutrient phosphate P2O5 (tonnes),6430000.0
China,CHN,2000,Nutrient phosphate P2O5 (tonnes),6687000.0
China,CHN,2001,Nutrient phosphate P2O5 (tonnes),7451462.0
China,CHN,2002,Nutrient phosphate P2O5 (tonnes),8056000.0
China,CHN,2003,Nutrient phosphate P2O5 (tonnes),8806000.0
China,CHN,2004,Nutrient phosphate P2O5 (tonnes),10200000.0
China,CHN,2005,Nutrient phosphate P2O5 (tonnes),11121000.0
